34153417 | Association | COVID-19 | MIR340
40935567 | Association | Alopecia Neurologic Defects and Endocrinopathy Syndrome | NLRC5
40935567 | Association | Hypophysitis | HLA-C
40935567 | Association | Thyroiditis | NLRC5
40935567 | Association | Thyroiditis | HLA-C
40935567 | Association | Colitis | HLA-C
40935567 | Association | Colitis | NLRC5
40935567 | Association | Alopecia Neurologic Defects and Endocrinopathy Syndrome | HLA-C
40935567 | Association | Hypothyroidism | HLA-C
41509343 | Association | HLA-A | TRBV20OR9-2
41509343 | Association | HLA-C | TRBV20OR9-2
42064093 | Positive_Correlation | ATHS | CXCR4
42064093 | Negative_Correlation | Lipopolysaccharides | CXCL12
42064093 | Positive_Correlation | CXCR4 | RUNX2
42064093 | Association | Inflammation | MMP9
42064093 | Positive_Correlation | SP7 | CXCR4
42064093 | Positive_Correlation | Lipopolysaccharides | Inflammation
42064093 | Positive_Correlation | HGF | CXCR4
42064093 | Association | MAPK14 | CXCL12
42064093 | Positive_Correlation | COL1A1 | CXCR4
39389490 | Association | Capsaicin | Hyaluronic Acid
39389490 | Association | Capsaicin | CARTPT
39389490 | Association | Melanoma | KLRK1
39389490 | Positive_Correlation | Hyaluronic Acid | CARTPT
39389490 | Association | Capsaicin | Neoplasms
39389490 | Positive_Correlation | Capsaicin | KLRK1
39389490 | Association | Hyaluronic Acid | Manganese
39389490 | Positive_Correlation | Hyaluronic Acid | CD44
39389490 | Positive_Correlation | Manganese | CARTPT
39389490 | Negative_Correlation | Hyaluronic Acid | Melanoma
39389490 | Positive_Correlation | Hyaluronic Acid | KLRK1
39389490 | Positive_Correlation | Manganese | KLRK1
39389490 | Negative_Correlation | Manganese | Hypoxia
39389490 | Positive_Correlation | Hyaluronic Acid | TRPV1
39389490 | Positive_Correlation | CD8A | CARTPT
39389490 | Negative_Correlation | Neoplasms | KLRK1
39389490 | Association | Manganese | Melanoma
39389490 | Association | Capsaicin | Melanoma
39389490 | Association | KLRK1 | CARTPT
39389490 | Association | Hyaluronic Acid | Neoplasms
39389490 | Positive_Correlation | KLRK1 | CD8A
39389490 | Association | Melanoma | CARTPT
39389490 | Association | Neoplasms | CARTPT
39389490 | Association | Capsaicin | Manganese
41813804 | Positive_Correlation | CpG dinucleotide | CD4
41813804 | Positive_Correlation | CpG dinucleotide | CD8A
41819102 | Negative_Correlation | Neoplasms | CD274
42064044 | Bind | CXCL12 | CXCR4
42064044 | Association | Fibrosis | CXCL12
42064044 | Association | Fibrosis | CXCR4
42064044 | Association | Alopecia Areata | CXCL12
42064044 | Association | Inflammation | CXCR4
42064044 | Association | Alopecia | CXCR4
42064044 | Association | Inflammation | CXCL12
42064044 | Association | Alopecia | CXCL12
42064044 | Association | Alopecia Areata | CXCR4
40608426 | Negative_Correlation | c.406G>A | Acute Lung Injury
40608426 | Negative_Correlation | c.406G>A | Death
40608426 | Association | Acute Lung Injury | MICB
40608426 | Association | Acute Lung Injury | KLRK1
40608426 | Bind | KLRK1 | MICB
40608426 | Association | Death | MICB
41717445 | Association | COVID-19 | CD4
41717445 | Association | GATA2 Deficiency | CD4
41717445 | Negative_Correlation | Lymphopenia | CD8A
41339521 | Association | HLA-C | KRAS
41339521 | Association | KRAS | TRBV20OR9-2
41369389 | Association | Virus Diseases | CTSS
41369389 | Positive_Correlation | CTSS | HLA-C
40369131 | Association | CD274 | PIK3CB
40369131 | Association | IL6 | STAT3
40369131 | Association | IL1A | PIK3CB
40369131 | Positive_Correlation | KLRK1 | TNF
40369131 | Association | Drug-Related Side Effects and Adverse Reactions | CD274
40369131 | Association | CD274 | STAT3
40369131 | Association | AKT1 | IL6
40369131 | Positive_Correlation | CD274 | IL1A
40369131 | Association | AKT1 | CD274
40369131 | Association | Inflammation | KLRK1
40369131 | Association | Multiple Myeloma | KLRK1
40369131 | Positive_Correlation | Inflammation | CD274
40369131 | Association | STAT3 | TNF
40369131 | Positive_Correlation | CD274 | TNF
40369131 | Association | IL1A | STAT3
40369131 | Association | Multiple Myeloma | CD274
40369131 | Association | AKT1 | TNF
40369131 | Association | PIK3CB | TNF
40369131 | Association | IL6 | PIK3CB
40369131 | Positive_Correlation | CD274 | IL6
40369131 | Association | AKT1 | IL1A
40369131 | Association | Drug-Related Side Effects and Adverse Reactions | KLRK1
40369131 | Association | Inflammation | TNF
42064072 | Association | Endometriosis | MIF
42064072 | Association | LRP1 | MIF
42064072 | Association | LRP1 | CD74
42064072 | Association | LRP1 | CXCR4
42064072 | Association | Endometriosis | LRP1
40905778 | Association | Breast Neoplasms | ESR1
40905778 | Negative_Correlation | IFNE | PGR
40905778 | Negative_Correlation | Ovarian Diseases | IFNE
40905778 | Association | Ovarian Neoplasms | HLA-S
40905778 | Association | Neoplasms | PGR
40905778 | Negative_Correlation | ESR1 | IFNE
40905778 | Association | Ovarian Neoplasms | IFNE
40905778 | Association | Ovarian Neoplasms | IFNA1
40905778 | Association | Breast Neoplasms | PGR
40905778 | Negative_Correlation | Breast Neoplasms | IFNE
40905778 | Positive_Correlation | IFNE | IFNA1
40905778 | Negative_Correlation | Neoplasms | IFNE
41740281 | Association | Asthma | Il9
41740281 | Association | Il9 | Foxo1
41740281 | Association | Pneumonia | Il9
41740281 | Association | COVID-19 | Foxo1
41740281 | Association | COVID-19 | Il9
41740281 | Association | Airway Obstruction | Il9
41740281 | Association | Asthma | Il9r
41740281 | Association | Drug Hypersensitivity | Il9r
41740281 | Association | Drug Hypersensitivity | Il9
41740281 | Positive_Correlation | Inflammation | Il9
41246091 | Positive_Correlation | COVID-19 | p.C19P
41246091 | Association | COVID-19 | HLA-C
37274476 | Association | KLRK1 | CD8A
37274476 | Association | ADAM10 | KLRK1
37274476 | Association | Neoplasms | KLRK1
37274476 | Association | Neuroblastoma | ADAM17
37274476 | Association | Neoplasms | IFNG
37274476 | Association | Neuroblastoma | CD8A
37274476 | Association | Neuroblastoma | ADAM10
37274476 | Association | KLRK1 | ADAM17
37274476 | Association | Neuroblastoma | KLRK1
42045760 | Association | SPP1 | CXCR4
42045760 | Association | Adenocarcinoma of Lung | SPP1
42045760 | Association | Adenocarcinoma of Lung | CXCR4
38696611 | Association | CD274 | ITGAV
15197237 | Association | Leukemia | HDAC9
15197237 | Association | Blast Injuries | RUNX1
15197237 | Association | RUNX1 | HDAC9
15197237 | Negative_Correlation | trichostatin A | HDAC9
15197237 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | RUNX1
15197237 | Association | Leukemia | RUNX1
15197237 | Association | Leukemia | CD83
41773183 | Association | Drug-Related Side Effects and Adverse Reactions | CD8A
41773183 | Association | Asthma | IGHE
41773183 | Positive_Correlation | IL5 | CD8A
41773183 | Association | Asthma | IL4
41773183 | Association | Asthma | IL13
41773183 | Association | Asthma | IL5
41773183 | Association | Drug-Related Side Effects and Adverse Reactions | IL5
41009363 | Association | Autoimmune Diseases | FSTL1
41009363 | Association | MYO18A | VTN
41009363 | Association | Autoimmune Diseases | LAMP1
41009363 | Association | VTN | FHOD3
41009363 | Association | Autoimmune Diseases | EMILIN3
41009363 | Association | COVID-19 | HLA-DQA1
41009363 | Association | COVID-19 | HLA-DRB1
41009363 | Association | Autoimmune Diseases | HLA-DPB1
41009363 | Association | Autoimmune Diseases | HAVCR2
41009363 | Association | COVID-19 | HLA-DPA1
41009363 | Association | COVID-19 | HLA-DPB1
41759822 | Association | Quercetin | COVID-19
41759822 | Bind | S | CD8A
41759822 | Negative_Correlation | Rutin | Inflammation
41759822 | Association | S | CD4
21166663 | Association | RUNX1 | CD34
21166663 | Association | Arthritis Psoriatic | RUNX1
21166663 | Association | Psoriasis | SLC9A3R1
21166663 | Association | Psoriasis | CD34
21166663 | Positive_Correlation | Psoriasis | PRKCB
21166663 | Bind | NAT9 | RUNX1
21166663 | Positive_Correlation | Psoriasis | RUNX1
21166663 | Association | Arthritis Psoriatic | CD34
21166663 | Positive_Correlation | Psoriasis | HLA-C
41012180 | Association | Neoplasms | CD63
40444276 | Association | COVID-19 | CYSLTR1
40444276 | Association | COVID-19 | KLRG1
40444276 | Association | COVID-19 | CCR5
35819236 | Association | Post-Acute COVID-19 Syndrome | CCR5
41687726 | Association | Inflammation | CXCL8
41687726 | Association | Stomach Neoplasms | TGFB1
41687726 | Association | Inflammation | IL6
41687726 | Association | Stomach Neoplasms | NFKB1
41687726 | Association | CXCL8 | NFKB1
41687726 | Association | Inflammation | TGFB1
41687726 | Association | Neoplasms | PTEN
41687726 | Association | Inflammation | NFKB1
41687726 | Association | Stomach Neoplasms | IL6
33039243 | Association | Alopecia Areata | IFNG
33039243 | Positive_Correlation | Inflammation | KLRK1
33039243 | Association | Alopecia Areata | CXCL10
33039243 | Association | MICA | KLRK1
33039243 | Association | Alopecia Areata | MICA
33039243 | Association | Alopecia Areata | CD1D
33039243 | Association | Inflammation | IFNG
33039243 | Association | Alopecia Areata | CXCL12
33039243 | Association | Inflammation | CD200R1
33039243 | Association | KLRK1 | CD1D
33039243 | Association | Alopecia Areata | KLRK1
42069409 | Association | Waldenstrom Macroglobulinemia | BTK
42069409 | Positive_Correlation | pirtobrutinib | Neutropenia
42069409 | Positive_Correlation | pirtobrutinib | Cardiomegaly
42069409 | Negative_Correlation | pirtobrutinib | Leukemia Prolymphocytic T-Cell
42069409 | Negative_Correlation | pirtobrutinib | Pneumonia
42069409 | Negative_Correlation | pirtobrutinib | Waldenstrom Macroglobulinemia
42069409 | Positive_Correlation | pirtobrutinib | Subarachnoid Hemorrhage
42069409 | Negative_Correlation | pirtobrutinib | Sepsis
42069409 | Negative_Correlation | pirtobrutinib | Lymphoma Mantle-Cell
42069409 | Negative_Correlation | pirtobrutinib | Leukemia T-Cell
42069409 | Negative_Correlation | pirtobrutinib | Anemia Hemolytic
42069409 | Negative_Correlation | pirtobrutinib | BTK
41643293 | Association | Glioma | H2BC3
40803144 | Negative_Correlation | Diabetes Mellitus Type 2 | CD8A
40803144 | Association | TNF | CD8A
40803144 | Association | COVID-19 | IFNG
40803144 | Association | Diabetes Mellitus Type 2 | IFNG
40803144 | Association | COVID-19 | IL10
42056569 | Association | Lymphoma | CXCR4
41098740 | Association | Neoplasms | #925#
41098740 | Positive_Correlation | Neoplasms | p.Y320E
41098740 | Association | Virus Diseases | p.Y320F
41098740 | Association | Infections | p.Y320F
41098740 | Association | Neoplasms | CD8A
41098740 | Association | Virus Diseases | CD8A
41098740 | Association | Infections | CD8A
41316520 | Association | TNFRSF9 | METTL14
41316520 | Association | IL7R | METTL14
41316520 | Association | PSMA2 | METTL14
41316520 | Negative_Correlation | Inflammation | METTL14
41316520 | Association | PSMB2 | METTL14
41316520 | Association | PSMA3 | METTL14
41316520 | Association | Nasopharyngeal Carcinoma | CXCL2
41316520 | Association | Nasopharyngeal Carcinoma | METTL14
41316520 | Association | CXCL2 | METTL14
41316520 | Association | Neoplasms | METTL14
41316520 | Negative_Correlation | METTL14 | TNF
41316520 | Association | Nasopharyngeal Carcinoma | TNF
41316520 | Positive_Correlation | TNFRSF12A | METTL14
41316520 | Association | PSMC6 | METTL14
41316520 | Association | Nasopharyngeal Carcinoma | IL7R
41316520 | Association | IL1B | METTL14
41316520 | Association | PSMD1 | METTL14
41316520 | Association | METTL14 | CCL5
41316520 | Association | METTL14 | IL32
41316520 | Positive_Correlation | METTL14 | TNFSF15
42051299 | Association | WHIM syndrome | CXCR4
42051299 | Bind | CXCL12 | CXCR4
42051299 | Negative_Correlation | plerixafor | WHIM syndrome
42051299 | Negative_Correlation | plerixafor | CXCR4
10037796 | Bind | CCR5 | CCL5
42046739 | Association | Inflammation | CXCL12
42046739 | Association | Carcinoma Hepatocellular | CXCR4
42046739 | Association | Neoplasms | CXCR4
42046739 | Association | CXCL12 | CXCR4
42046739 | Association | Liver Cirrhosis | CXCR4
42046739 | Association | Neoplasm Metastasis | CXCR4
42046739 | Association | Fibrosis | CXCL12
42046739 | Association | Carcinoma Hepatocellular | CXCL12
42046739 | Association | Fibrosis | CXCR4
42046739 | Association | Chemical and Drug Induced Liver Injury Chronic | CXCR4
42046739 | Association | Inflammation | CXCR4
42046739 | Negative_Correlation | Lipids | Carcinoma Hepatocellular
41780811 | Association | Infections | CD8A
41780811 | Association | Infections | CD4
41638327 | Association | GSK3B | TCF7
41638327 | Negative_Correlation | TCF7 | CD4
39345527 | Association | Melanoma | b2m
39345527 | Association | Neoplasms | CD8A
39345527 | Association | Melanoma | CD8A
39345527 | Association | Melanoma | HLA-G
39345527 | Association | Neoplasms | B2M
41805702 | Negative_Correlation | Prednisolone | Infections
41805702 | Association | Fluorodeoxyglucose F18 | Pneumonia
41805702 | Negative_Correlation | Methylprednisolone | Infections
41746934 | Association | COVID-19 | S
41746934 | Association | Drug-Related Side Effects and Adverse Reactions | IFNG
41773808 | Association | Neoplasms | IL10
41579939 | Association | Adenosine | NT5E
41579939 | Association | Adenosine | Alopecia Areata
41579939 | Association | Alopecia Areata | IFNG
41579939 | Association | Alopecia Areata | TGFB1
41579939 | Association | Alopecia Areata | FOXP3
41579939 | Association | Alopecia Areata | IL10
41579939 | Association | Incontinentia Pigmenti | IL10
41579939 | Association | Retinal Dystrophies | IL10
41579939 | Association | Adenosine | ENTPD1
41579939 | Association | Incontinentia Pigmenti | FOXP3
42052746 | Association | SNAI1 | CXCR4
42052746 | Association | VIM | CXCR4
42052746 | Association | EPHA2 | CXCR4
42052746 | Negative_Correlation | Sorafenib | Carcinoma Hepatocellular
42052746 | Negative_Correlation | Sorafenib | TXK
42052746 | Negative_Correlation | lenvatinib | TXK
42052746 | Association | CXCR4 | CDH1
42052746 | Positive_Correlation | Sorafenib | CXCR4
42052746 | Negative_Correlation | regorafenib | TXK
42052746 | Negative_Correlation | lenvatinib | Carcinoma Hepatocellular
42052746 | Negative_Correlation | regorafenib | Carcinoma Hepatocellular
42052746 | Negative_Correlation | flavokawain A | Carcinoma Hepatocellular
42052746 | Association | MMP2 | CXCR4
42052746 | Positive_Correlation | lenvatinib | CXCR4
42052746 | Association | Carcinoma Hepatocellular | CXCR4
42052746 | Positive_Correlation | regorafenib | CXCR4
42052746 | Association | flavokawain A | CXCR4
42052746 | Association | CDH5 | CXCR4
42052746 | Association | MMP14 | CXCR4
40650237 | Association | FCGR3B | S
42070192 | Negative_Correlation | 3-tert-butyl-4-hydroxyanisole | Ovarian Neoplasms
42070192 | Association | Ovarian Neoplasms | CXCR2
42070192 | Association | 3-tert-butyl-4-hydroxyanisole | CX3CL1
42070192 | Bind | 3-tert-butyl-4-hydroxyanisole | CXCR2
40820888 | Association | Neoplasms | TRBV20OR9-2
40820888 | Association | Carcinoma Hepatocellular | TRBV20OR9-2
40820888 | Association | Carcinoma Hepatocellular | HLA-A
40820888 | Association | HLA-A | TRBV20OR9-2
41212052 | Association | HIV Infections | CD4
41212052 | Association | HIV Infections | CD8A
40805243 | Negative_Correlation | pembrolizumab | Carcinoma Merkel Cell
40805243 | Association | Carcinoma Merkel Cell | IFNG
40805243 | Positive_Correlation | IFNG | IDO1
40805243 | Negative_Correlation | Neoplasms | IFNG
40805243 | Negative_Correlation | avelumab | Carcinoma Merkel Cell
40805243 | Positive_Correlation | CD274 | IFNG
42069167 | Association | Mental Disorders | CXCR4
42069167 | Association | Depressive Disorder | CXCR4
42069167 | Association | Depressive Disorder | CXCL12
42069167 | Association | Mental Disorders | CXCL12
42069167 | Bind | CXCL12 | CXCR4
42069167 | Association | gamma-Aminobutyric Acid | CXCR4
42069167 | Positive_Correlation | Neurotoxicity Syndromes | CXCR4
42069167 | Positive_Correlation | Neurotoxicity Syndromes | CXCL12
42069167 | Association | gamma-Aminobutyric Acid | CXCL12
41781019 | Positive_Correlation | Platinum | Drug-Related Side Effects and Adverse Reactions
41291785 | Association | Post-Acute COVID-19 Syndrome | CD4
41408054 | Association | Neoplasms | HLA-C
41654469 | Association | IL2 | CD4
41654469 | Positive_Correlation | IL2 | CD8A
41654469 | Positive_Correlation | IFNG | CD8A
40954077 | Association | Neoplasms | SMAD2
40954077 | Negative_Correlation | SMAD2 | SNAI1
40954077 | Association | Colorectal Neoplasms | SNAI1
40954077 | Association | Neoplasm Metastasis | SMAD2
40954077 | Association | Neoplasm Metastasis | SNAI1
40954077 | Association | STUB1 | NLRC5
40954077 | Association | Colorectal Neoplasms | SMAD2
40954077 | Association | Colorectal Neoplasms | TFAP4
41727501 | Association | Influenza Human | NCAM1
41727501 | Association | COVID-19 | NCAM1
41611759 | Association | COVID-19 | IL6
41611759 | Negative_Correlation | COVID-19 | CD8A
41611759 | Negative_Correlation | COVID-19 | CD4
41611759 | Association | COVID-19 | SNCA
41611759 | Association | COVID-19 | MIR146A
41611759 | Association | COVID-19 | IL1B
41786686 | Association | COVID-19 | CD8A
41092903 | Association | Neoplasms | CD8A
40536098 | Association | Atrophy | H2-D
40536098 | Association | Neuroinflammatory Diseases | H2-K1
40536098 | Association | Microphthalmia Syndromic 10 | H2-D
42093638 | Association | CXCR4 | CD34
42093638 | Association | Leukoencephalopathies | CD34
42093638 | Association | Leukoencephalopathies | PROM1
42093638 | Association | Leukoencephalopathies | CXCR4
42093638 | Association | KDR | CD34
42093638 | Bind | PROM1 | CD34
41962731 | Positive_Correlation | Calcium | Leucine
41962731 | Association | poly(gamma-glutamic acid) | Calcium
41962731 | Positive_Correlation | Leucine | CD86
41962731 | Positive_Correlation | Leucine | CD80
41962731 | Association | poly(gamma-glutamic acid) | Calcium Carbonate
41847859 | Association | COVID-19 | CD19
41847859 | Association | CXCL13 | CD19
41847859 | Association | COVID-19 | S
41847859 | Association | KRT18 | CXCR5
41847859 | Association | COVID-19 | TNF
41847859 | Association | CXCL13 | CXCR5
41847859 | Association | CXCL13 | CD4
41847859 | Association | CXCR5 | CD19
41847859 | Association | COVID-19 | CXCR5
41847859 | Association | Weight Loss | CXCL13
41847859 | Association | COVID-19 | CD4
41847859 | Association | CXCL13 | TNF
41847859 | Association | S | CXCR5
41847859 | Association | CXCR5 | TNF
41847859 | Association | CXCL13 | IFNG
41847859 | Association | COVID-19 | KRT18
41847859 | Association | COVID-19 | GZMB
41847859 | Association | GZMB | CXCR5
41847859 | Association | COVID-19 | IFNG
41847859 | Association | IFNG | CXCR5
41847859 | Association | GZMB | KRT18
41847859 | Association | COVID-19 | CXCL13
41847859 | Association | Weight Loss | KRT18
41847859 | Association | CXCR5 | CD4
41811887 | Association | Cytomegalovirus Infections | CD4
41811887 | Association | IL2RA | CD8A
41811887 | Association | Cytomegalovirus Infections | CD274
41811887 | Positive_Correlation | CD274 | CD4
41811887 | Positive_Correlation | CD8A | CD69
41811887 | Positive_Correlation | CD274 | CD8A
16547971 | Association | Calcium | Phosphatidylinositols
16547971 | Association | Phosphatidylinositols | CCL5
16547971 | Positive_Correlation | Calcium | CCL5
41015027 | Association | Neoplasms | CD8A
41015027 | Association | TNFRSF9 | CD8A
41015027 | Association | Virus Diseases | CD8A
41877229 | Association | Carcinoma Hepatocellular | CD274
41599077 | Association | Infections | CD40LG
41599077 | Association | Intestinal Volvulus | CD8A
41099151 | Association | HLA-A | ACRBP
41099151 | Association | Ovarian Neoplasms | ACRBP
41099151 | Association | Neoplasms | ACRBP
41099151 | Association | HLA-C | ACRBP
41781826 | Association | COVID-19 | CD38
41781826 | Association | COVID-19 | CD4
41781826 | Association | COVID-19 | CD28
41781826 | Association | COVID-19 | CD69
41781826 | Association | COVID-19 | CD8A
42068640 | Association | Neoplasms | CXCR4
41659399 | Association | Small Cell Lung Carcinoma | EZH2
41659399 | Association | EZH2 | SLFN11
41659399 | Association | Small Cell Lung Carcinoma | SLFN11
42077577 | Association | 68Ga-pentixafor | Hyperaldosteronism
42077577 | Bind | 68Ga-pentixafor | CXCR4
42077577 | Association | Neoplasms | CXCR4
42077577 | Negative_Correlation | 68Ga-pentixafor | 617027
42077577 | Association | Gallium | 617027
42077577 | Association | 617027 | CXCR4
42077577 | Bind | Gallium | CXCR4
41415277 | Bind | HLA-C | TRBV20OR9-2
14608357 | Association | Psoriasis | RUNX1
14608357 | Association | NAT9 | RUNX1
14608357 | Bind | RUNX1 | SLC9A3R1
14608357 | Association | Arthritis Psoriatic | SLC9A3R1
14608357 | Association | Psoriasis | NAT9
14608357 | Association | Autoimmune Diseases | RUNX1
14608357 | Association | Psoriasis | SLC9A3R1
14608357 | Association | Autoimmune Diseases | NAT9
40389374 | Association | Neoplasms | PDCD1
40389374 | Negative_Correlation | Ipilimumab | Ermine phenotype
40389374 | Negative_Correlation | lirilumab | Ermine phenotype
40389374 | Negative_Correlation | Iodine | Neoplasms
40389374 | Association | Nivolumab | TNFRSF18
40389374 | Cotreatment | urelumab | Nivolumab
40389374 | Association | Neoplasms | CD274
40389374 | Negative_Correlation | Nivolumab | Ermine phenotype
40389374 | Cotreatment | cabiralizumab | Nivolumab
40389374 | Cotreatment | relatlimab | Nivolumab
40389374 | Negative_Correlation | Nivolumab | Carcinoma Non-Small-Cell Lung
40389374 | Association | lirilumab | Nivolumab
40389374 | Negative_Correlation | urelumab | Ermine phenotype
40389374 | Cotreatment | Ipilimumab | Nivolumab
40389374 | Association | Benign non-infected urachal cyst | PDCD1
41286307 | Negative_Correlation | EZH2 | GZMB
41286307 | Association | Prostatic stromal proliferation of uncertain malignant potential | CD8A
41286307 | Association | Prostatic stromal proliferation of uncertain malignant potential | EZH2
41286307 | Negative_Correlation | GSK-2816126 | EZH2
41286307 | Association | Neoplasms | EZH2
41286307 | Negative_Correlation | EZH2 | CD8A
41286307 | Association | EZH2 | B2M
41286307 | Association | Leukoplakia Oral | EZH2
41286307 | Association | EZH2 | TAP1
41286307 | Association | Squamous Cell Carcinoma of Head and Neck | EZH2
41767267 | Association | Arthritis Rheumatoid | KRT20
41767267 | Association | S | CD8A
41767267 | Bind | HLA-C | CD8A
40980495 | Positive_Correlation | CXCL10 | PROS1
40980495 | Bind | MERTK | PROS1
40980495 | Association | IFNA1 | PROS1
40980495 | Association | COVID-19 | IFNA1
40980495 | Negative_Correlation | Inflammation | PROS1
40980495 | Association | COVID-19 | PROS1
41003814 | Association | Triple Negative Breast Neoplasms | CD274
42060009 | Association | Wilms Tumor | CXCR4
42060009 | Association | Wilms Tumor | ALDH1A1
42060009 | Association | Wilms Tumor | MSH2
42060009 | Association | Wilms Tumor | AURKA
42060009 | Association | Wilms Tumor | FOSL2
42060009 | Association | Wilms Tumor | IL15RA
42060009 | Association | Wilms Tumor | TGM2
42060009 | Association | Wilms Tumor | CD274
42060009 | Association | Wilms Tumor | MT1E
42060009 | Association | Wilms Tumor | GADD45B
42060009 | Association | Wilms Tumor | CDH2
42060009 | Association | Wilms Tumor | SOD2
41714741 | Association | Arthritis Rheumatoid | HLA-A
41714741 | Association | Multiple Sclerosis | HLA-A
41806762 | Association | Infections | S
41806762 | Association | Infections | CD4
42052835 | Association | Aspartic Acid | Carcinoma Hepatocellular
42052835 | Association | Carcinoma Hepatocellular | CD74
42052835 | Association | Lapatinib | Carcinoma Hepatocellular
42052835 | Association | Gemcitabine | Cisplatin
42052835 | Association | Oxaliplatin | Lapatinib
42052835 | Association | Glutamic Acid | Carcinoma Hepatocellular
42052835 | Association | Carcinoma Hepatocellular | ASPG
42052835 | Association | Lapatinib | Paclitaxel
42052835 | Association | Lapatinib | Cisplatin
42052835 | Association | Oxaliplatin | Cisplatin
42052835 | Association | Lapatinib | Gemcitabine
42052835 | Association | Gemcitabine | Paclitaxel
42052835 | Association | Cisplatin | Paclitaxel
42052835 | Association | Oxaliplatin | Paclitaxel
42052835 | Association | Alanine | Carcinoma Hepatocellular
42052835 | Association | Oxaliplatin | Gemcitabine
41200182 | Association | 614878 | RPL36
41200182 | Association | 614878 | RPS28
41200182 | Association | 614878 | CD3E
41200182 | Association | COVID-19 | CD8A
41200182 | Association | Inflammation | CD8A
41200182 | Association | 614878 | RPS26
41200182 | Association | 614878 | RPS29
41200182 | Association | 614878 | RPS21
41200182 | Association | 614878 | RPL39
42094699 | Association | Pemphigoid Bullous | CXCL8
42094699 | Negative_Correlation | dupilumab | Pemphigoid Bullous
42094699 | Negative_Correlation | dupilumab | Inflammation
42094699 | Association | Pemphigoid Bullous | COL17A1
42094699 | Association | Pemphigoid Bullous | MMP9
42094699 | Association | Inflammation | CXCL8
42094699 | Negative_Correlation | dupilumab | Pruritus
41394586 | Association | Neoplasms | HLA-C
41394586 | Association | Lung Neoplasms | TP53
41394586 | Association | HLA-C | TP53
41394586 | Association | ERAP1 | TP53
41394586 | Association | Neoplasms | TP53
41394586 | Association | Neoplasms | ERAP1
41594588 | Association | MICA | KLRK1
41594588 | Association | Neoplasms | KLRK1
41594588 | Association | Neoplasms | MICA
41904711 | Negative_Correlation | 4-oxime uridine | COVID-19
41904711 | Negative_Correlation | molnupiravir | COVID-19
41904711 | Comparison | molnupiravir | 4-oxime uridine
41131134 | Positive_Correlation | evolocumab | TNF
41131134 | Association | GZMA | CD8A
41131134 | Association | evolocumab | Neoplasms
41131134 | Association | evolocumab | FASLG
41131134 | Association | Glioma | PCSK9
41131134 | Negative_Correlation | evolocumab | PCSK9
41131134 | Positive_Correlation | evolocumab | CD8A
41131134 | Association | Neoplasms | CD8A
41131134 | Negative_Correlation | evolocumab | Glioma
41131134 | Association | evolocumab | HLA-A
41131134 | Association | evolocumab | HLA-H
41109214 | Association | Melanoma | CD8A
41109214 | Association | Neoplasms | CD8A
41593681 | Association | Neurologic Manifestations | CD8A
41675500 | Association | Neon | CD8A
41675500 | Association | Neoplasms | CD8A
41675500 | Association | Catecholamines | CD8A
41871810 | Association | Virus Diseases | TAPBP
41871810 | Negative_Correlation | Neoplasms | TAPBP
41550947 | Association | Multiple Myeloma | IL7
41550947 | Negative_Correlation | Neoplasms | IL7
41550947 | Association | COVID-19 | IL7
41550947 | Negative_Correlation | Lymphopenia | IL7
41550947 | Positive_Correlation | IL7 | CD4
41550947 | Positive_Correlation | IL7 | CD8A
41550947 | Association | Urethral Neoplasms | IL7
35694714 | Association | Carcinoma Squamous Cell | CCR5
35694714 | Association | Carcinoma Squamous Cell | CCR1
35694714 | Association | COVID-19 | CD8A
35694714 | Association | Carcinoma Squamous Cell | CXCR3
35694714 | Association | Carcinoma Squamous Cell | CCL2
35694714 | Association | Carcinoma Squamous Cell | CCR2
41763270 | Positive_Correlation | saponin QA-21V1 | Hemolysis
41763270 | Negative_Correlation | saponin QA-21V1 | Polysorbates
41763270 | Negative_Correlation | Polysorbates | Hemolysis
42123548 | Negative_Correlation | anifrolumab | Lupus Erythematosus Systemic
42123548 | Association | Mental Disorders | IRF5
42123548 | Association | Chronic Disease | STAT4
42123548 | Association | Lupus Nephritis | FBN2
42123548 | Association | iberdomide | STAT4
42123548 | Association | Inflammation | IRF5
42123548 | Association | Chronic Disease | IRF5
42123548 | Association | anifrolumab | STAT4
42123548 | Association | Lupus Nephritis | TLR7
42123548 | Association | Inflammation | STAT4
42123548 | Association | Mental Disorders | STAT4
42086148 | Association | Lipids | Hematologic Neoplasms
42086148 | Association | Lipids | CXCR4
42086148 | Bind | CXCL12 | CXCR4
42086148 | Association | Hematologic Neoplasms | CXCR4
42086148 | Negative_Correlation | Lipids | Neoplasm Metastasis
42086148 | Negative_Correlation | Platinum | Hematologic Neoplasms
42086148 | Association | Hematologic Neoplasms | CXCL12
42086148 | Negative_Correlation | Platinum | Neoplasms
42086148 | Association | Platinum | CXCR4
42086148 | Negative_Correlation | Reactive Oxygen Species | Neoplasms
42086148 | Negative_Correlation | Platinum | CXCL12
42086148 | Association | Neoplasm Metastasis | CXCR4
42086148 | Negative_Correlation | Platinum | Neoplasm Metastasis
42086148 | Association | Neoplasms | CXCR4
32067111 | Association | Breast Neoplasms | FASLG
32067111 | Association | Breast Neoplasms | ATM
32067111 | Association | Triple Negative Breast Neoplasms | FASLG
32067111 | Association | Neoplasms | MICA
